nfull,nabb,if
NOISE CONTROL ENGINEERING JOURNAL,NOISE CONTROL ENG J,0.313
Dyna,DYNA-BILBAO,0.302
Journal of Marine Science and Technology-Taiwan,J MAR SCI TECH-TAIW,0.298
Ingenieria e Investigacion,ING INVEST,0.278
FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,FORSCH INGENIEURWES,0.25
JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,J CHIN INST ENG,0.246
MEASUREMENT TECHNIQUES,MEAS TECH+,0.246
Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria,REV INT METOD NUMER,0.207
Journal of Engineering Research,J ENG RES-KUWAIT,0.177
Journal of the Faculty of Engineering and Architecture of Gazi University,J FAC ENG ARCHIT GAZ,0.174
