nfull,nabb,if
IIE TRANSACTIONS,IIE TRANS,1.463
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,1.457
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,1.447
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,1.444
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,EUR J MECH B-FLUID,1.418
ANNALS OF OPERATIONS RESEARCH,ANN OPER RES,1.406
MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,1.406
OR SPECTRUM,OR SPECTRUM,1.395
ENGINEERING OPTIMIZATION,ENG OPTIMIZ,1.38
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1.371
THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,THEOR COMP FLUID DYN,1.321
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,1.319
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,DISCRETE EVENT DYN S,1.268
CONTRIBUTIONS TO PLASMA PHYSICS,CONTRIB PLASM PHYS,1.255
International Transactions in Operational Research,INT T OPER RES,1.255
INFORMS JOURNAL ON COMPUTING,INFORMS J COMPUT,1.246
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,J OPER RES SOC,1.225
JOURNAL OF GLOBAL OPTIMIZATION,J GLOBAL OPTIM,1.219
ENGINEERING ECONOMIST,ENG ECON,1.207
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,1.183
Journal of Simulation,J SIMUL,1.164
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,J OPTIMIZ THEORY APP,1.16
OPTIMAL CONTROL APPLICATIONS & METHODS,OPTIM CONTR APPL MET,1.097
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,P I MECH ENG O-J RIS,1.073
JOURNAL OF SCHEDULING,J SCHEDULING,1.023
Journal of Mathematical Fluid Mechanics,J MATH FLUID MECH,1.023
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,CONCURRENT ENG-RES A,1.02
Optimization Letters,OPTIM LETT,1.019
PLASMA PHYSICS REPORTS,PLASMA PHYS REP+,1.01
JOURNAL OF PLASMA PHYSICS,J PLASMA PHYS,0.981
Central European Journal of Operations Research,CENT EUR J OPER RES,0.978
IEEE TRANSACTIONS ON PLASMA SCIENCE,IEEE T PLASMA SCI,0.958
Systems Engineering,SYSTEMS ENG,0.956
NETWORKS,NETWORKS,0.943
Top,TOP,0.927
Memetic Computing,MEMET COMPUT,0.9
OPTIMIZATION AND ENGINEERING,OPTIM ENG,0.9
Discrete Optimization,DISCRETE OPTIM,0.889
IMA Journal of Management Mathematics,IMA J MANAG MATH,0.878
QUEUEING SYSTEMS,QUEUEING SYST,0.875
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,INT J TECHNOL MANAGE,0.867
FLUID DYNAMICS RESEARCH,FLUID DYN RES,0.846
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,0.841
OPTIMIZATION,OPTIMIZATION,0.822
Journal of Systems Science and Systems Engineering,J SYST SCI SYST ENG,0.804
SOCIO-ECONOMIC PLANNING SCIENCES,SOCIO-ECON PLAN SCI,0.796
NAVAL RESEARCH LOGISTICS,NAV RES LOG,0.787
Journal of Industrial and Management Optimization,J IND MANAG OPTIM,0.776
