nfull,nabb,if
Peer-to-Peer Networking and Applications,PEER PEER NETW APPL,1
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,0.982
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,0.977
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,0.944
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,WIREL COMMUN MOB COM,0.922
JOURNAL OF COMMUNICATIONS AND NETWORKS,J COMMUN NETW-S KOR,0.92
International Journal of Distributed Sensor Networks,INT J DISTRIB SENS N,0.906
IEEE SECURITY & PRIVACY,IEEE SECUR PRIV,0.902
Information Retrieval Journal,INFORM RETRIEVAL J,0.896
Science China-Information Sciences,SCI CHINA INFORM SCI,0.885
JOURNAL OF INFORMATION SCIENCE,J INF SCI,0.878
Journal of Ambient Intelligence and Humanized Computing,J AMB INTEL HUM COMP,0.835
Security and Communication Networks,SECUR COMMUN NETW,0.806
DISTRIBUTED AND PARALLEL DATABASES,DISTRIB PARALLEL DAT,0.8
JOURNAL OF COMPUTER INFORMATION SYSTEMS,J COMPUT INFORM SYST,0.764
ACM Transactions on Information and System Security,ACM T INFORM SYST SE,0.759
ACTA INFORMATICA,ACTA INFORM,0.722
Journal of Ambient Intelligence and Smart Environments,J AMB INTEL SMART EN,0.707
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,0.705
SIGMOD RECORD,SIGMOD REC,0.698
International Journal of Network Management,INT J NETW MANAG,0.681
Aslib Journal of Information Management,ASLIB J INFORM MANAG,0.676
Frontiers of Computer Science,FRONT COMPUT SCI-CHI,0.66
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0.633
Information Technology and Control,INF TECHNOL CONTROL,0.633
International Journal of Computers Communications & Control,INT J COMPUT COMMUN,0.627
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,IBM J RES DEV,0.626
Computer Science and Information Systems,COMPUT SCI INF SYST,0.623
International Journal on Semantic Web and Information Systems,INT J SEMANT WEB INF,0.621
INFORMATION PROCESSING LETTERS,INFORM PROCESS LETT,0.605
Foundations and Trends in Information Retrieval,FOUND TRENDS INF RET,0.6
Ad Hoc & Sensor Wireless Networks,AD HOC SENS WIREL NE,0.587
Sustainable Computing-Informatics & Systems,SUSTAIN COMPUT-INFOR,0.569
PHOTONIC NETWORK COMMUNICATIONS,PHOTONIC NETW COMMUN,0.557
Journal of Internet Technology,J INTERNET TECHNOL,0.533
New Review of Hypermedia and Multimedia,NEW REV HYPERMEDIA M,0.533
Applied Ontology,APPL ONTOL,0.526
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,INT J COOP INF SYST,0.526
International Arab Journal of Information Technology,INT ARAB J INF TECHN,0.519
Journal of Signal Processing Systems for Signal Image and Video Technology,J SIGNAL PROCESS SYS,0.508
International Journal of Ad Hoc and Ubiquitous Computing,INT J AD HOC UBIQ CO,0.489
International Journal of Sensor Networks,INT J SENS NETW,0.454
IEEE Latin America Transactions,IEEE LAT AM T,0.436
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,J INF SCI ENG,0.392
Journal of Zhejiang University-SCIENCE C-Computers & Electronics,J ZHEJIANG U-SCI C,0.392
KSII Transactions on Internet and Information Systems,KSII T INTERNET INF,0.365
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS,RAIRO-THEOR INF APPL,0.319
International Journal of Web Services Research,INT J WEB SERV RES,0.257
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,IEICE T FUND ELECTR,0.236
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,0.226
Journal of Organizational and End User Computing,J ORGAN END USER COM,0.156
JOURNAL OF DATABASE MANAGEMENT,J DATABASE MANAGE,0.12
INFOR,INFOR,0.095
Frontiers of Information Technology & Electronic Engineering,FRONT INFORM TECH EL,Not Available
