nfull,nabb,if
Journal of Integrative Plant Biology,J INTEGR PLANT BIOL,3.67
Advances in Carbohydrate Chemistry and Biochemistry,ADV CARBOHYD CHEM BI,3.667
APOPTOSIS,APOPTOSIS,3.592
BIOCHEMICAL JOURNAL,BIOCHEM J,3.562
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,3.556
Metallomics,METALLOMICS,3.54
MOLECULAR MEDICINE,MOL MED,3.53
FEBS LETTERS,FEBS LETT,3.519
METHODS,METHODS,3.503
CURRENT MEDICINAL CHEMISTRY,CURR MED CHEM,3.455
JOURNAL OF CELLULAR BIOCHEMISTRY,J CELL BIOCHEM,3.446
JOURNAL OF BIOMOLECULAR NMR,J BIOMOL NMR,3.439
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,J ENZYM INHIB MED CH,3.428
NEUROCHEMISTRY INTERNATIONAL,NEUROCHEM INT,3.385
Essays in Biochemistry,ESSAYS BIOCHEM,3.378
MOLECULAR IMMUNOLOGY,MOL IMMUNOL,3.375
Progress in Molecular Biology and Translational Science,PROG MOL BIOL TRANSL,3.364
PLANT SCIENCE,PLANT SCI,3.362
GLYCOBIOLOGY,GLYCOBIOLOGY,3.283
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,INT J MOL SCI,3.257
GENE THERAPY,GENE THER,3.242
JOURNAL OF INORGANIC BIOCHEMISTRY,J INORG BIOCHEM,3.205
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,3.199
AMINO ACIDS,AMINO ACIDS,3.196
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,PROSTAG LEUKOTR ESS,3.155
JOURNAL OF CHEMICAL ECOLOGY,J CHEM ECOL,3.151
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,INT J BIOL MACROMOL,3.138
PROTEIN SCIENCE,PROTEIN SCI,3.039
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,J PHOTOCH PHOTOBIO B,3.035
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,J AM SOC MASS SPECTR,3.031
BIOCHIMIE,BIOCHIMIE,3.017
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,BBA-PROTEINS PROTEOM,3.016
FREE RADICAL RESEARCH,FREE RADICAL RES,2.949
CYTOKINE,CYTOKINE,2.94
BIOORGANIC & MEDICINAL CHEMISTRY,BIOORGAN MED CHEM,2.923
Organogenesis,ORGANOGENESIS,2.91
PROSTAGLANDINS & OTHER LIPID MEDIATORS,PROSTAG OTH LIPID M,2.905
CHEMISTRY AND PHYSICS OF LIPIDS,CHEM PHYS LIPIDS,2.901
Cell and Bioscience,CELL BIOSCI,2.883
BIOCHEMISTRY,BIOCHEMISTRY-US,2.876
INSECT MOLECULAR BIOLOGY,INSECT MOL BIOL,2.866
CHEMBIOCHEM,CHEMBIOCHEM,2.85
CURRENT DRUG METABOLISM,CURR DRUG METAB,2.847
Innate Immunity,INNATE IMMUN-LONDON,2.83
Molecular BioSystems,MOL BIOSYST,2.829
Nucleic Acid Therapeutics,NUCLEIC ACID THER,2.813
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCH BIOCHEM BIOPHYS,2.807
Chemical Biology & Drug Design,CHEM BIOL DRUG DES,2.802
BMB Reports,BMB REP,2.782
PHYTOCHEMISTRY,PHYTOCHEMISTRY,2.779
Advances in Microbial Physiology,ADV MICROB PHYSIOL,2.727
BIOLOGICAL CHEMISTRY,BIOL CHEM,2.71
Food & Function,FOOD FUNCT,2.686
BIOCHEMICAL SOCIETY TRANSACTIONS,BIOCHEM SOC T,2.679
MOLECULES AND CELLS,MOL CELLS,2.67
IUBMB LIFE,IUBMB LIFE,2.653
MOLECULAR GENETICS AND GENOMICS,MOL GENET GENOMICS,2.622
CHEMICO-BIOLOGICAL INTERACTIONS,CHEM-BIOL INTERACT,2.618
REDOX REPORT,REDOX REP,2.606
Expert Opinion on Drug Metabolism & Toxicology,EXPERT OPIN DRUG MET,2.598
CHROMOSOME RESEARCH,CHROMOSOME RES,2.59
PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,PROG BIOPHYS MOL BIO,2.581
DNA AND CELL BIOLOGY,DNA CELL BIOL,2.574
JOURNAL OF STRUCTURAL BIOLOGY,J STRUCT BIOL,2.57
EUROPEAN CYTOKINE NETWORK,EUR CYTOKINE NETW,2.562
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,J TRACE ELEM MED BIO,2.55
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,COMP BIOCHEM PHYS C,2.546
PEPTIDES,PEPTIDES,2.535
PROCESS BIOCHEMISTRY,PROCESS BIOCHEM,2.529
STEROIDS,STEROIDS,2.513
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2.512
BMC MOLECULAR BIOLOGY,BMC MOL BIOL,2.5
PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,PROTEINS,2.499
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,J BIOL INORG CHEM,2.495
Frontiers in Bioscience-Landmark,FRONT BIOSCI-LANDMRK,2.484
NEUROCHEMICAL RESEARCH,NEUROCHEM RES,2.472
BIOSCIENCE REPORTS,BIOSCIENCE REP,2.446
Prion,PRION,2.444
CURRENT PROTEIN & PEPTIDE SCIENCE,CURR PROTEIN PEPT SC,2.441
CURRENT GENOMICS,CURR GENOMICS,2.43
JOURNAL OF BIOCHEMISTRY,J BIOCHEM,2.397
PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,PESTIC BIOCHEM PHYS,2.388
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,BIOCHEM BIOPH RES CO,2.371
PROTEIN ENGINEERING DESIGN & SELECTION,PROTEIN ENG DES SEL,2.364
BIOPHYSICAL CHEMISTRY,BIOPHYS CHEM,2.363
JOURNAL OF MOLECULAR NEUROSCIENCE,J MOL NEUROSCI,2.352
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,2.351
EXTREMOPHILES,EXTREMOPHILES,2.346
MedChemComm,MEDCHEMCOMM,2.319
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,J BIOCHEM MOL TOXIC,2.303
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,J BIOMOL STRUCT DYN,2.3
BIOTECHNIQUES,BIOTECHNIQUES,2.298
YEAST,YEAST,2.259
Comparative Biochemistry and Physiology D-Genomics & Proteomics,COMP BIOCHEM PHYS D,2.254
BIOORGANIC CHEMISTRY,BIOORG CHEM,2.252
BIOPOLYMERS,BIOPOLYMERS,2.248
ANALYTICAL BIOCHEMISTRY,ANAL BIOCHEM,2.243
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,PHOTOCH PHOTOBIO SCI,2.235
JOURNAL OF MOLECULAR CATALYSIS B-ENZYMATIC,J MOL CATAL B-ENZYM,2.189
Vitamins and Hormones,VITAM HORM,2.161
MOLECULAR REPRODUCTION AND DEVELOPMENT,MOL REPROD DEV,2.141
