nfull,nabb,if
JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,J NANOSCI NANOTECHNO,1.338
CHEMICAL PAPERS,CHEM PAP,1.326
Journal of the Iranian Chemical Society,J IRAN CHEM SOC,1.3
Green Processing and Synthesis,GREEN PROCESS SYNTH,1.291
PHARMAZIE,PHARMAZIE,1.264
JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,J INCL PHENOM MACRO,1.253
CHEMICAL & PHARMACEUTICAL BULLETIN,CHEM PHARM BULL,1.228
MAGNETIC RESONANCE IN CHEMISTRY,MAGN RESON CHEM,1.226
JOURNAL OF CHEMICAL EDUCATION,J CHEM EDUC,1.225
CENTRAL EUROPEAN JOURNAL OF CHEMISTRY,CENT EUR J CHEM,1.207
HETEROATOM CHEMISTRY,HETEROATOM CHEM,1.203
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,1.167
MONATSHEFTE FUR CHEMIE,MONATSH CHEM,1.131
TURKISH JOURNAL OF CHEMISTRY,TURK J CHEM,1.098
JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,J BRAZIL CHEM SOC,1.096
HELVETICA CHIMICA ACTA,HELV CHIM ACTA,1.087
JOURNAL OF PORPHYRINS AND PHTHALOCYANINES,J PORPHYR PHTHALOCYA,1.087
CHEMICAL RESEARCH IN CHINESE UNIVERSITIES,CHEM RES CHINESE U,1.086
JOURNAL OF CHEMICAL SCIENCES,J CHEM SCI,1.085
SEPARATION SCIENCE AND TECHNOLOGY,SEP SCI TECHNOL,1.083
JOURNAL OF MATHEMATICAL CHEMISTRY,J MATH CHEM,1.056
CANADIAN JOURNAL OF CHEMISTRY,CAN J CHEM,1.003
CHIMIA,CHIMIA,1
Journal of Chemistry,J CHEM-NY,0.996
JOURNAL OF THE SERBIAN CHEMICAL SOCIETY,J SERB CHEM SOC,0.97
REVISTA DE CHIMIE,REV CHIM-BUCHAREST,0.956
Journal of Sulfur Chemistry,J SULFUR CHEM,0.945
PROGRESS IN CHEMISTRY,PROG CHEM,0.894
JOURNAL OF THE CHINESE CHEMICAL SOCIETY,J CHIN CHEM SOC-TAIP,0.879
Journal of Experimental Nanoscience,J EXP NANOSCI,0.832
Macroheterocycles,MACROHETEROCYCLES,0.804
SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN,SOLVENT EXTR RES DEV,0.804
BULLETIN OF THE KOREAN CHEMICAL SOCIETY,B KOREAN CHEM SOC,0.793
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE,CHEM J CHINESE U,0.791
CROATICA CHEMICA ACTA,CROAT CHEM ACTA,0.732
INDIAN JOURNAL OF CHEMISTRY SECTION A-INORGANIC BIO-INORGANIC PHYSICAL THEORETICAL & ANALYTICAL CHEMISTRY,INDIAN J CHEM A,0.729
Journal of the Mexican Chemical Society,J MEX CHEM SOC,0.722
SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,S AFR J CHEM-S-AFR T,0.667
JOURNAL OF CHEMICAL RESEARCH,J CHEM RES,0.661
Theoretical and Experimental Chemistry,THEOR EXP CHEM+,0.637
BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,B CHEM SOC ETHIOPIA,0.623
JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY,J THEOR COMPUT CHEM,0.619
QUIMICA NOVA,QUIM NOVA,0.617
RUSSIAN CHEMICAL BULLETIN,RUSS CHEM B+,0.579
DOKLADY CHEMISTRY,DOKL CHEM,0.554
Chemija,CHEMIJA,0.547
CHIMICA OGGI-CHEMISTRY TODAY,CHIM OGGI,0.538
HYLE,HYLE,0.5
OXIDATION COMMUNICATIONS,OXID COMMUN,0.489
RUSSIAN JOURNAL OF GENERAL CHEMISTRY,RUSS J GEN CHEM+,0.481
Acta Crystallographica Section C-Structural Chemistry,ACTA CRYSTALLOGR C,0.479
JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,J CHIL CHEM SOC,0.429
Macedonian Journal of Chemistry and Chemical engineering,MACED J CHEM CHEM EN,0.4
PRZEMYSL CHEMICZNY,PRZEM CHEM,0.367
MAIN GROUP CHEMISTRY,MAIN GROUP CHEM,0.355
CHEMICAL & ENGINEERING NEWS,CHEM ENG NEWS,0.33
IRANIAN JOURNAL OF CHEMISTRY & CHEMICAL ENGINEERING-INTERNATIONAL ENGLISH EDITION,IRAN J CHEM CHEM ENG,0.307
CHEMICKE LISTY,CHEM LISTY,0.279
JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,J CHEM SOC PAKISTAN,0.276
CHEMIE IN UNSERER ZEIT,CHEM UNSERER ZEIT,0.258
Solid Fuel Chemistry,SOLID FUEL CHEM+,0.258
REVUE ROUMAINE DE CHIMIE,REV ROUM CHIM,0.25
Bulgarian Chemical Communications,BULG CHEM COMMUN,0.229
AFINIDAD,AFINIDAD,0.215
FIBRE CHEMISTRY,FIBRE CHEM+,0.214
Studia Universitatis Babes-Bolyai Chemia,STUD U BABES-BOL CHE,0.148
JOURNAL OF THE INDIAN CHEMICAL SOCIETY,J INDIAN CHEM SOC,0.145
Open Chemistry,OPEN CHEM,Not Available
