nfull,nabb,if
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,INT J UNCERTAIN FUZZ,1
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST,1
EXPERT SYSTEMS,EXPERT SYST,0.947
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,0.944
International Journal of Fuzzy Systems,INT J FUZZY SYST,0.941
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,0.932
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INT J PATTERN RECOGN,0.915
Memetic Computing,MEMET COMPUT,0.9
Natural Language Engineering,NAT LANG ENG,0.886
International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,0.885
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0.877
Biologically Inspired Cognitive Architectures,BIOL INSPIR COGN ARC,0.838
Journal of Ambient Intelligence and Humanized Computing,J AMB INTEL HUM COMP,0.835
MINDS AND MACHINES,MIND MACH,0.769
IET Biometrics,IET BIOMETRICS,0.764
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL-US,0.722
Journal of Ambient Intelligence and Smart Environments,J AMB INTEL SMART EN,0.707
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL,0.647
Information Technology and Control,INF TECHNOL CONTROL,0.633
Intelligent Data Analysis,INTELL DATA ANAL,0.631
AI MAGAZINE,AI MAG,0.628
CONSTRAINTS,CONSTRAINTS,0.622
International Journal on Semantic Web and Information Systems,INT J SEMANT WEB INF,0.621
Statistical Analysis and Data Mining,STAT ANAL DATA MIN,0.574
IET Computer Vision,IET COMPUT VIS,0.573
Neural Network World,NEURAL NETW WORLD,0.562
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL,0.54
Applied Ontology,APPL ONTOL,0.526
COMPUTING AND INFORMATICS,COMPUT INFORM,0.524
Journal of Applied Logic,J APPL LOGIC,0.524
International Arab Journal of Information Technology,INT ARAB J INF TECHN,0.519
Turkish Journal of Electrical Engineering and Computer Sciences,TURK J ELECTR ENG CO,0.518
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0.504
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,0.503
Malaysian Journal of Computer Science,MALAYS J COMPUT SCI,0.476
Advances in Electrical and Computer Engineering,ADV ELECTR COMPUT EN,0.459
Journal of Logic Language and Information,J LOGIC LANG INFORM,0.45
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,0.391
AI COMMUNICATIONS,AI COMMUN,0.364
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELL AUTOM SOFT CO,0.351
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,0.325
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0.24
Traitement du Signal,TRAIT SIGNAL,0
