nfull,nabb,if
COMPUTER LANGUAGES SYSTEMS & STRUCTURES,COMPUT LANG SYST STR,0.556
COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,0.548
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,J UNIVERS COMPUT SCI,0.546
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,DISCRETE MATH THEOR,0.537
FORMAL ASPECTS OF COMPUTING,FORM ASP COMPUT,0.521
ACM SIGPLAN NOTICES,ACM SIGPLAN NOTICES,0.488
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,J COMPUT SCI TECH-CH,0.475
IET Software,IET SOFTW,0.473
Scientific Programming,SCI PROGRAMMING-NETH,0.455
International Journal of Wavelets Multiresolution and Information Processing,INT J WAVELETS MULTI,0.392
Journal of Zhejiang University-SCIENCE C-Computers & Electronics,J ZHEJIANG U-SCI C,0.392
PROGRAMMING AND COMPUTER SOFTWARE,PROGRAM COMPUT SOFT+,0.39
International Journal of Web Services Research,INT J WEB SERV RES,0.257
Advances in Computers,ADV COMPUT,0.256
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0.24
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,0.226
ICGA JOURNAL,ICGA J,0.206
JOURNAL OF DATABASE MANAGEMENT,J DATABASE MANAGE,0.12
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,0.095
Frontiers of Information Technology & Electronic Engineering,FRONT INFORM TECH EL,Not Available
