nfull,nabb,if,,
Revista Latinoamericana De Psicologia,Rev Lat Am Psicol,0.293,,
Ceskoslovenska Psychologie,Cesk Psychol,0.236,,
Women & Therapy,Women Ther,0.229,,
Universitas Psychologica,Univ Psychol,0.226,,
Estudios De Psicologia,Estud Psicol-Madrid,0.221,,
Psychologia,Psicol-Reflex Crit,0.216,,
Psicologia-Reflexao E Critica,Psychologia,0.216,,
Journal Of Psychology In Africa,J Psychol Afr,0.207,,
Pratiques Psychologiques,Prat Psychol,0.162,,
Revista Mexicana De Psicologia,Rev Mex Psicol,0.162,,
Turk Psikoloji Dergisi,Turk Psikol Derg,0.107,,
Psikhologicheskii Zhurnal,Psikhol Zh,0.095,,
,,,,
,,,,
